OBJECTID,Shape_Leng,Shape_Area,District,County,Sub County,Parish,Village,Region,Pop_2020,HHs_2020
53052,3432.640707,621634.6854,Kanungu,Kinkizi,Nyakinoni,Nyakinoni,Nyakinoni,Western,,
53053,9497.430688,1904128.196,Kanungu,Kinkizi,Nyakinoni,Nyakinoni,Nyakinoni,Western,,
53054,7903.020696,1950794.656,Kanungu,Kinkizi,Nyakinoni,Nyakinoni,Karonde,Western,,
53055,5915.223996,1132879.51,Kanungu,Kinkizi,Nyanga,Bukorwe,Bukorwe,Western,,
53056,5988.033339,1426996.687,Kanungu,Kinkizi,Nyanga,Nyanga,Nyanga,Western,,
53057,4665.27678,1190568.26,Kanungu,Kinkizi,Nyanga,Kamahe,Nyarutembe,Western,,
53058,8902.721545,2379047.809,Kanungu,Kinkizi,Nyanga,Bukorwe,Burambi,Western,,
53059,5745.449092,1520729.033,Kanungu,Kinkizi,Nyanga,Bukorwe,Kazinga,Western,,
53060,4331.498364,1046205.193,Kanungu,Kinkizi,Nyanga,Bukorwe,Karambi,Western,,
53061,4904.029642,1100259.938,Kanungu,Kinkizi,Nyanga,Bukorwe,Nyakabungo,Western,,
53062,3834.209343,691600.0408,Kanungu,Kinkizi,Nyanga,Bukorwe,Nyakashozi,Western,,
53063,7354.719036,2124220.523,Kanungu,Kinkizi,Nyanga,Nyanga,Busanza,Western,,
53064,5763.061231,1372600.847,Kanungu,Kinkizi,Nyanga,Nyanga,Ishasha,Western,,
53065,6704.795489,1693857.399,Kanungu,Kinkizi,Nyanga,Nyanga,Mushunga,Western,,
53066,3847.072319,665783.9113,Kanungu,Kinkizi,Nyanga,Nyanga,Muntuha,Western,,
53067,4713.053598,1126369.873,Kanungu,Kinkizi,Nyanga,Nyanga,Rutooma,Western,,
53068,6400.616635,1715677.055,Kanungu,Kinkizi,Nyanga,Nkunda,Runyinya,Western,,
53069,3576.967791,518751.7931,Kanungu,Kinkizi,Nyanga,Nkunda,Rurama,Western,,
53070,4230.697851,813399.2781,Kanungu,Kinkizi,Nyanga,Nkunda,Nyeibinga,Western,,
53071,5201.812571,1307109.54,Kanungu,Kinkizi,Nyanga,Nkunda,Nkunda,Western,,
53072,5714.572037,960690.8312,Kanungu,Kinkizi,Nyanga,Kamahe,Bweramaana,Western,,
53073,4381.937817,948359.7482,Kanungu,Kinkizi,Nyanga,Kamahe,Nyarutembe,Western,,
53074,5573.79821,1575893.462,Kanungu,Kinkizi,Nyanga,Kamahe,Yerusalim,Western,,
53075,7963.100595,2864239.097,Kanungu,Kinkizi,Nyamirama,Rushaka,Kiruruma,Western,,
